"","station_id","uuid","name","gateway_id","gateway_id_hex","product_number","username","user_email","company_name","active","private","recording_interval","imei","registered_date","subscription_end","time_zone","city","region","country","latitude","longitude","elevation_m","gateway_type","relationship_type","subscription_type"
"1",216108,"730963a3-7666-441d-8ef9-ed012a3f7e95","Turner Rd",8435154,"001D0A80B5D2","6803","ColumbiaCD","districtmanager@columbiacd.com","",TRUE,FALSE,15,"862771040965439",2025-06-29 13:42:53,2026-07-05 18:45:01,"America/Los_Angeles","Turner","WA","United States of America",46.400547,-117.82304,2405.5867,"EnviroMonitor","Owned","Pro"
"2",228499,"32dca3f8-0f6c-4ed3-8657-c33ae08f35c8","Crall Hollow",8435167,"001D0A80B5DF","6803","ColumbiaCD","districtmanager@columbiacd.com","",TRUE,FALSE,15,"862771044275439",2026-01-06 15:39:24,2027-01-23 08:59:10,"America/Los_Angeles","Dayton","WA","United States of America",46.293137,-117.92296,1617.2494,"EnviroMonitor","Owned","Pro"
"3",228533,"c40cf495-ec20-43bd-8a4a-5ad71e62a06c","Bundy Hollow",8435161,"001D0A80B5D9","6803","ColumbiaCD","districtmanager@columbiacd.com","",TRUE,FALSE,15,"862771041027908",2026-01-07 08:04:10,2027-01-23 09:01:09,"America/Los_Angeles","Mountain Home Park","WA","United States of America",46.182945,-117.98239,1616.1283,"EnviroMonitor","Owned","Pro"
"4",228923,"1075b0a2-4527-4e6f-aebe-14f7c2f6df63","Eckler Mt. Rd - Pioneer Park",8435159,"001D0A80B5D7","6803","ColumbiaCD","districtmanager@columbiacd.com","",TRUE,FALSE,15,"862771040967567",2026-01-12 11:29:27,2027-01-23 09:02:40,"America/Los_Angeles","Mountain Top","WA","United States of America",46.28462,-117.80197,3117.206,"EnviroMonitor","Owned","Pro"
"5",228932,"75b34c7a-f30e-49f3-b083-a75725ae8b50","Patit Rd - Lewis Gulch ",8435163,"001D0A80B5DB","6803","ColumbiaCD","districtmanager@columbiacd.com","",TRUE,FALSE,15,"862771044370024",2026-01-12 12:58:00,2027-01-23 09:20:50,"America/Los_Angeles","Patit","WA","United States of America",46.341583,-117.82005,2255.252,"EnviroMonitor","Owned","Pro"
"6",229323,"917b1024-3e35-4d3e-8481-8ec7118f7ff9","Bluewood Lodge",8435141,"001D0A80B5C5","6803","ColumbiaCD","districtmanager@columbiacd.com","",TRUE,FALSE,15,"862771040957089",2026-01-16 09:07:44,2027-01-23 09:21:43,"America/Los_Angeles","Dayton","WA","United States of America",46.082523,-117.851036,4536.497,"EnviroMonitor","Owned","Pro"
"7",229675,"96844113-a372-4c64-b8ba-1d5fe8143663","Archer Rd - HWY 12 ",8435156,"001D0A80B5D4","6803","ColumbiaCD","districtmanager@columbiacd.com","",TRUE,FALSE,15,"862771040956826",2026-01-21 12:27:55,2027-01-21 12:27:55,"America/Los_Angeles","Jackson","WA","United States of America",46.545204,-117.891815,1097.882,"EnviroMonitor","Owned","Pro"
"8",229687,"5fb20673-bea1-4913-80f1-d54821cb02d3","Emerson Rd - Dry Hollow ",8435146,"001D0A80B5CA","6803","ColumbiaCD","districtmanager@columbiacd.com","",TRUE,FALSE,15,"862771040950704",2026-01-21 14:07:17,2027-01-21 14:07:17,"America/Los_Angeles","Dodge","WA","United States of America",46.48677,-117.85932,1606.159,"EnviroMonitor","Owned","Pro"
"9",229764,"7accda50-63aa-4949-9d47-b7f7232ac35b","Dustin Hollow Rd",8435157,"001D0A80B5D5","6803","ColumbiaCD","districtmanager@columbiacd.com","",TRUE,FALSE,15,"862771040960877",2026-01-22 09:49:24,2027-01-22 09:49:24,"America/Los_Angeles","Long","WA","United States of America",46.240864,-118.024864,1829.401,"EnviroMonitor","Owned","Pro"
"10",229784,"20304bc1-eb5f-4f15-aba5-e13a111ae1e3","Lyons Ferry",8435210,"001D0A80B60A","6803","ColumbiaCD","districtmanager@columbiacd.com","",TRUE,FALSE,15,"862771041027049",2026-01-22 13:24:05,2027-01-23 09:22:51,"America/Los_Angeles","","","United States of America",46.574886,-118.226326,747.748,"EnviroMonitor","Owned","Pro"
"11",229872,"a0f5d306-cd47-4983-b853-e82deb4a37b4","Whetstone Rd - McKay Alto Rd",8436357,"001D0A80BA85","6803","ColumbiaCD","districtmanager@columbiacd.com","",TRUE,FALSE,15,"866346065016669",2026-01-23 14:49:53,2027-01-23 14:49:53,"America/Los_Angeles","Dayton","WA","United States of America",46.320644,-117.97896,1612.577,"EnviroMonitor","Owned","Pro"
"12",230014,"072a7696-7dc9-422d-a392-419c065012f6","Messner Rd ",8435145,"001D0A80B5C9","6803","ColumbiaCD","districtmanager@columbiacd.com","",TRUE,FALSE,15,"862771040960885",2026-01-26 14:49:40,2027-01-26 14:49:40,"America/Los_Angeles","Whetstone","WA","United States of America",46.414505,-117.96166,1774.788,"EnviroMonitor","Owned","Pro"
"13",231505,"2c1fa7b7-cc45-4d79-9916-8599dbfe72a2","Marengo - Tucannon Rd ",8435743,"001D0A80B81F","6805","ColumbiaCD","districtmanager@columbiacd.com","",TRUE,FALSE,15,NA,2026-02-19 09:50:39,2027-02-20 10:29:01,"America/Los_Angeles","Pomeroy","WA","United States of America",46.441948,-117.75115,1471.59,"EnviroMonitor","Owned","Pro"
